encoder,primary_label,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
densenet121,Emphysema/COPD,0.24602265802510215,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.2962962962962963,0.13580246913580246,0.06227944209858587,0.4074074074074074,0.13333333333333333,0.06361471434577534,0.5555555555555556,0.12962962962962962,0.06666884189029468
densenet121,Fibrosis/Interstitial,0.4022058823529412,0.25,0.25,0.125,0.5,0.24999999999999997,0.1224398938352297,0.5,0.19999999999999998,0.11581177617709737,0.5,0.19999999999999998,0.12238691775196692
densenet121,Granuloma,0.33644738198309626,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.39285714285714285,0.20238095238095236,0.15033869655133641,0.5357142857142857,0.17857142857142858,0.13903572424583996,0.7857142857142857,0.19642857142857142,0.15470581232980796
densenet121,Hernia/Diaphragm,0.308306013349873,0.18181818181818182,0.18181818181818182,0.07575757575757575,0.2727272727272727,0.1515151515151515,0.058363015826016176,0.36363636363636365,0.16363636363636364,0.0667115743235112,0.7272727272727273,0.15454545454545457,0.08019482520828566
densenet121,Lung Opacity,0.2537394781144781,0.125,0.125,0.125,0.20833333333333334,0.08333333333333333,0.09054986729403713,0.375,0.09166666666666667,0.0946350954325748,0.625,0.13333333333333333,0.12184997140563836
densenet121,Nodule/Mass,0.3112469654528478,0.13333333333333333,0.13333333333333333,0.08333333333333333,0.4,0.17777777777777776,0.09508819990438727,0.4666666666666667,0.17333333333333334,0.09261143513707501,0.6666666666666666,0.16666666666666666,0.09585137489465315
densenet121,Normal,0.6939523178959799,0.5117370892018779,0.5117370892018779,0.5117370892018779,0.8544600938967136,0.513302034428795,0.5137040704548115,0.9389671361502347,0.5248826291079812,0.5218643066661693,0.9906103286384976,0.5206572769953052,0.5204190551882445
densenet121,Other Abnormality,0.43370688211784997,0.275,0.275,0.25625,0.525,0.225,0.22276547213174774,0.5625,0.175,0.18662132818368926,0.7625,0.16125,0.17168146706954945
densenet121,Pleural Effusion,0.4685163033847244,0.3333333333333333,0.3333333333333333,0.18888888888888888,0.5555555555555556,0.37037037037037035,0.17525796413996145,0.5555555555555556,0.3333333333333333,0.15727970191761603,0.5555555555555556,0.25555555555555554,0.13479213244456908
densenet121,Pneumonia,0.17180648187807215,0.0,0.0,0.0,0.25,0.08333333333333333,0.016562063428820353,0.25,0.15,0.06866967571247017,0.5,0.175,0.06784716983896501
densenet121,Pneumothorax,0.19385026737967914,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.032897990107318364,0.3333333333333333,0.06666666666666667,0.026197546102551886,0.3333333333333333,0.09999999999999999,0.03671046897957963
densenet121,Scarring,0.4039766794291681,0.23076923076923078,0.23076923076923078,0.0923076923076923,0.5384615384615384,0.23076923076923073,0.09056095349405505,0.5384615384615384,0.21538461538461537,0.09567035980402064,0.7692307692307693,0.19230769230769232,0.09864903498723407
densenet121,Support Devices,0.21299282524835744,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.25925925925925924,0.09876543209876543,0.05876290398253502,0.2962962962962963,0.08888888888888889,0.05489337626603736,0.5555555555555556,0.0962962962962963,0.07130174890642932
